ProductCode,ProductDescription
060420,"Foliage, branches and other parts of plants, without flowers or flower buds, and grasses, mosses and lichens, being goods of a kind suitable for bouquets or for ornamental purposes, fresh, dried, dyed, bleached, impregnated or otherwise prepared : Fresh"
060490,"Foliage, branches and other parts of plants, without flowers or flower buds, and grasses, mosses and lichens, being goods of a kind suitable for bouquets or for ornamental purposes, fresh, dried, dyed, bleached, impregnated or otherwise prepared : Other"
070110,"Potatoes, fresh or chilled : Seed"
070190,"Potatoes, fresh or chilled : Other"
070200,"Tomatoes, fresh or chilled"
070310,"Onions, shallots, garlic, leeks and other alliaceous vegetables, fresh or chilled : Onions and shallots"
070320,"Onions, shallots, garlic, leeks and other alliaceous vegetables, fresh or chilled : Garlic"
070390,"Onions, shallots, garlic, leeks and other alliaceous vegetables, fresh or chilled : Leeks and other alliaceous vegetables"
070410,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas, fresh or chilled : Cauliflowers and broccoli"
070420,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas, fresh or chilled : Brussels sprouts"
070490,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas, fresh or chilled : Other"
070511,"Lettuce (Lactuca sativa) and chicory (Cichorium spp.), fresh or chilled : Lettuce : Cabbage lettuce (head lettuce)"
070519,"Lettuce (Lactuca sativa) and chicory (Cichorium spp.), fresh or chilled : Lettuce : Other"
070521,"Lettuce (Lactuca sativa) and chicory (Cichorium spp.), fresh or chilled : Chicory : Witloof chicory (Cichorium intybus var. foliosum)"
070529,"Lettuce (Lactuca sativa) and chicory (Cichorium spp.), fresh or chilled : Chicory : Other"
070610,"Carrots, turnips, salad beetroot, salsify, celeriac, radishes and similar edible roots, fresh or chilled : Carrots and turnips"
070690,"Carrots, turnips, salad beetroot, salsify, celeriac, radishes and similar edible roots, fresh or chilled : Other"
070700,"Cucumbers and gherkins, fresh or chilled"
070810,"Leguminous vegetables, shelled or unshelled, fresh or chilled : Peas (Pisum sativum)"
070820,"Leguminous vegetables, shelled or unshelled, fresh or chilled : Beans (Vigna spp., Phaseolus spp.)"
070890,"Leguminous vegetables, shelled or unshelled, fresh or chilled : Other leguminous vegetables"
070920,"Other vegetables, fresh or chilled : Asparagus"
070930,"Other vegetables, fresh or chilled : Aubergines (eggplants)"
070940,"Other vegetables, fresh or chilled : Celery other than celeriac"
070951,"Other vegetables, fresh or chilled : Mushrooms and truffles : Mushrooms of the genus Agaricus"
070952,"Other vegetables, fresh or chilled : Mushrooms and truffles : Mushrooms of the genus Boletus"
070953,"Other vegetables, fresh or chilled : Mushrooms and truffles : Mushrooms of the genus Cantharellus"
070954,"Other vegetables, fresh or chilled : Mushrooms and truffles : Shiitake (Lentinus edodes)"
070955,"Other vegetables, fresh or chilled : Mushrooms and truffles : Matsutake (Tricholoma matsutake, Tricholoma magnivelare, Tricholoma anatolicum, Tricholoma dulciolens, Tricholoma caligatum)"
070956,"Other vegetables, fresh or chilled : Mushrooms and truffles : Truffles (Tuber spp.)"
070959,"Other vegetables, fresh or chilled : Mushrooms and truffles : Other"
070960,"Other vegetables, fresh or chilled : Fruits of the genus Capsicum or of the genus Pimenta"
070970,"Other vegetables, fresh or chilled : Spinach, New Zealand spinach and orache spinach (garden spinach)"
070991,"Other vegetables, fresh or chilled : Other : Globe artichokes"
070992,"Other vegetables, fresh or chilled : Other : Olives"
070993,"Other vegetables, fresh or chilled : Other : Pumpkins, squash and gourds (Cucurbita spp.)"
070999,"Other vegetables, fresh or chilled : Other : Other"
071010,"Vegetables (uncooked or cooked by steaming or boiling in water), frozen : Potatoes"
071021,"Vegetables (uncooked or cooked by steaming or boiling in water), frozen : Leguminous vegetables, shelled or unshelled : Peas (Pisum sativum)"
071022,"Vegetables (uncooked or cooked by steaming or boiling in water), frozen : Leguminous vegetables, shelled or unshelled : Beans (Vigna spp., Phaseolus spp.)"
071029,"Vegetables (uncooked or cooked by steaming or boiling in water), frozen : Leguminous vegetables, shelled or unshelled : Other"
071030,"Vegetables (uncooked or cooked by steaming or boiling in water), frozen : Spinach, New Zealand spinach and orache spinach (garden spinach)"
071040,"Vegetables (uncooked or cooked by steaming or boiling in water), frozen : Sweetcorn"
071080,"Vegetables (uncooked or cooked by steaming or boiling in water), frozen : Other vegetables"
071090,"Vegetables (uncooked or cooked by steaming or boiling in water), frozen : Mixtures of vegetables"
071120,"Vegetables provisionally preserved, but unsuitable in that state for immediate consumption : Olives"
071140,"Vegetables provisionally preserved, but unsuitable in that state for immediate consumption : Cucumbers and gherkins"
071151,"Vegetables provisionally preserved, but unsuitable in that state for immediate consumption : Mushrooms and truffles : Mushrooms of the genus Agaricus"
071159,"Vegetables provisionally preserved, but unsuitable in that state for immediate consumption : Mushrooms and truffles : Other"
071190,"Vegetables provisionally preserved, but unsuitable in that state for immediate consumption : Other vegetables; mixtures of vegetables"
071220,"Dried vegetables, whole, cut, sliced, broken or in powder, but not further prepared : Onions"
071231,"Dried vegetables, whole, cut, sliced, broken or in powder, but not further prepared : Mushrooms, wood ears (Auricularia spp.), jelly fungi (Tremella spp.) and truffles : Mushrooms of the genus Agaricus"
071232,"Dried vegetables, whole, cut, sliced, broken or in powder, but not further prepared : Mushrooms, wood ears (Auricularia spp.), jelly fungi (Tremella spp.) and truffles : Wood ears (Auricularia spp.)"
071233,"Dried vegetables, whole, cut, sliced, broken or in powder, but not further prepared : Mushrooms, wood ears (Auricularia spp.), jelly fungi (Tremella spp.) and truffles : Jelly fungi (Tremella spp.)"
071234,"Dried vegetables, whole, cut, sliced, broken or in powder, but not further prepared : Mushrooms, wood ears (Auricularia spp.), jelly fungi (Tremella spp.) and truffles : Shiitake (Lentinus edodes)"
071239,"Dried vegetables, whole, cut, sliced, broken or in powder, but not further prepared : Mushrooms, wood ears (Auricularia spp.), jelly fungi (Tremella spp.) and truffles : Other"
071290,"Dried vegetables, whole, cut, sliced, broken or in powder, but not further prepared : Other vegetables; mixtures of vegetables"
071310,"Dried leguminous vegetables, shelled, whether or not skinned or split : Peas (Pisum sativum)"
071320,"Dried leguminous vegetables, shelled, whether or not skinned or split : Chickpeas (garbanzos)"
071331,"Dried leguminous vegetables, shelled, whether or not skinned or split : Beans (Vigna spp., Phaseolus spp.) : Beans of the species Vigna mungo (L.) Hepper or Vigna radiata (L.) Wilczek"
071332,"Dried leguminous vegetables, shelled, whether or not skinned or split : Beans (Vigna spp., Phaseolus spp.) : Small red (Adzuki) beans (Phaseolus or Vigna angularis)"
071333,"Dried leguminous vegetables, shelled, whether or not skinned or split : Beans (Vigna spp., Phaseolus spp.) : Kidney beans, including white pea beans (Phaseolus vulgaris)"
071334,"Dried leguminous vegetables, shelled, whether or not skinned or split : Beans (Vigna spp., Phaseolus spp.) : Bambara beans (Vigna subterranea or Voandzeia subterranea)"
071335,"Dried leguminous vegetables, shelled, whether or not skinned or split : Beans (Vigna spp., Phaseolus spp.) : Cow peas (Vigna unguiculata)"
071339,"Dried leguminous vegetables, shelled, whether or not skinned or split : Beans (Vigna spp., Phaseolus spp.) : Other"
071340,"Dried leguminous vegetables, shelled, whether or not skinned or split : Lentils"
071350,"Dried leguminous vegetables, shelled, whether or not skinned or split : Broad beans (Vicia faba var. major) and horse beans (Vicia faba var. equina, Vicia faba var. minor)"
071360,"Dried leguminous vegetables, shelled, whether or not skinned or split : Pigeon peas (Cajanus cajan)"
071390,"Dried leguminous vegetables, shelled, whether or not skinned or split : Other"
071410,"Manioc, arrowroot, salep, Jerusalem artichokes, sweet potatoes and similar roots and tubers with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets; sago pith : Manioc (cassava)"
071420,"Manioc, arrowroot, salep, Jerusalem artichokes, sweet potatoes and similar roots and tubers with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets; sago pith : Sweet potatoes"
071430,"Manioc, arrowroot, salep, Jerusalem artichokes, sweet potatoes and similar roots and tubers with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets; sago pith : Yams (Dioscorea spp.)"
071440,"Manioc, arrowroot, salep, Jerusalem artichokes, sweet potatoes and similar roots and tubers with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets; sago pith : Taro (Colocasia spp.)"
071450,"Manioc, arrowroot, salep, Jerusalem artichokes, sweet potatoes and similar roots and tubers with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets; sago pith : Yautia (Xanthosoma spp.)"
071490,"Manioc, arrowroot, salep, Jerusalem artichokes, sweet potatoes and similar roots and tubers with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets; sago pith : Other"
080111,"Coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled : Coconuts : Desiccated"
080112,"Coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled : Coconuts : In the inner shell (endocarp)"
080119,"Coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled : Coconuts : Other"
080121,"Coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled : Brazil nuts : In shell"
080122,"Coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled : Brazil nuts : Shelled"
080131,"Coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled : Cashew nuts : In shell"
080132,"Coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled : Cashew nuts : Shelled"
080211,"Other nuts, fresh or dried, whether or not shelled or peeled : Almonds : In shell"
080212,"Other nuts, fresh or dried, whether or not shelled or peeled : Almonds : Shelled"
080221,"Other nuts, fresh or dried, whether or not shelled or peeled : Hazelnuts or filberts (Corylus spp.) : In shell"
080222,"Other nuts, fresh or dried, whether or not shelled or peeled : Hazelnuts or filberts (Corylus spp.) : Shelled"
080231,"Other nuts, fresh or dried, whether or not shelled or peeled : Walnuts : In shell"
080232,"Other nuts, fresh or dried, whether or not shelled or peeled : Walnuts : Shelled"
080241,"Other nuts, fresh or dried, whether or not shelled or peeled : Chestnuts (Castanea spp.) : In shell"
080242,"Other nuts, fresh or dried, whether or not shelled or peeled : Chestnuts (Castanea spp.) : Shelled"
080251,"Other nuts, fresh or dried, whether or not shelled or peeled : Pistachios : In shell"
080252,"Other nuts, fresh or dried, whether or not shelled or peeled : Pistachios : Shelled"
080261,"Other nuts, fresh or dried, whether or not shelled or peeled : Macadamia nuts : In shell"
080262,"Other nuts, fresh or dried, whether or not shelled or peeled : Macadamia nuts : Shelled"
080270,"Other nuts, fresh or dried, whether or not shelled or peeled : Kola nuts (Cola spp.)"
080280,"Other nuts, fresh or dried, whether or not shelled or peeled : Areca nuts"
080291,"Other nuts, fresh or dried, whether or not shelled or peeled : Other : Pine nuts, in shell"
080292,"Other nuts, fresh or dried, whether or not shelled or peeled : Other : Pine nuts, shelled"
080299,"Other nuts, fresh or dried, whether or not shelled or peeled : Other : Other"
080310,"Bananas, including plantains, fresh or dried : Plantains"
080390,"Bananas, including plantains, fresh or dried : Other"
080410,"Dates, figs, pineapples, avocados, guavas, mangoes and mangosteens, fresh or dried : Dates"
080420,"Dates, figs, pineapples, avocados, guavas, mangoes and mangosteens, fresh or dried : Figs"
080430,"Dates, figs, pineapples, avocados, guavas, mangoes and mangosteens, fresh or dried : Pineapples"
080440,"Dates, figs, pineapples, avocados, guavas, mangoes and mangosteens, fresh or dried : Avocados"
080450,"Dates, figs, pineapples, avocados, guavas, mangoes and mangosteens, fresh or dried : Guavas, mangoes and mangosteens"
080510,"Citrus fruit, fresh or dried : Oranges"
080521,"Citrus fruit, fresh or dried : Mandarins (including tangerines and satsumas); clementines, wilkings and similar citrus hybrids : Mandarins (including tangerines and satsumas)"
080522,"Citrus fruit, fresh or dried : Mandarins (including tangerines and satsumas); clementines, wilkings and similar citrus hybrids : Clementines"
080529,"Citrus fruit, fresh or dried : Mandarins (including tangerines and satsumas); clementines, wilkings and similar citrus hybrids : Other"
080540,"Citrus fruit, fresh or dried : Grapefruit and pomelos"
080550,"Citrus fruit, fresh or dried : Lemons (Citrus limon, Citrus limonum) and limes (Citrus aurantifolia, Citrus latifolia)"
080590,"Citrus fruit, fresh or dried : Other"
080610,"Grapes, fresh or dried : Fresh"
080620,"Grapes, fresh or dried : Dried"
080711,"Melons (including watermelons) and papaws (papayas), fresh : Melons (including watermelons) : Watermelons"
080719,"Melons (including watermelons) and papaws (papayas), fresh : Melons (including watermelons) : Other"
080720,"Melons (including watermelons) and papaws (papayas), fresh : Papaws (papayas)"
080810,"Apples, pears and quinces, fresh : Apples"
080830,"Apples, pears and quinces, fresh : Pears"
080840,"Apples, pears and quinces, fresh : Quinces"
080910,"Apricots, cherries, peaches (including nectarines), plums and sloes, fresh : Apricots"
080921,"Apricots, cherries, peaches (including nectarines), plums and sloes, fresh : Cherries : Sour cherries (Prunus cerasus)"
080929,"Apricots, cherries, peaches (including nectarines), plums and sloes, fresh : Cherries : Other"
080930,"Apricots, cherries, peaches (including nectarines), plums and sloes, fresh : Peaches, including nectarines"
080940,"Apricots, cherries, peaches (including nectarines), plums and sloes, fresh : Plums and sloes"
081010,"Other fruit, fresh : Strawberries"
081020,"Other fruit, fresh : Raspberries, blackberries, mulberries and loganberries"
081030,"Other fruit, fresh : Black-, white- or redcurrants and gooseberries"
081040,"Other fruit, fresh : Cranberries, bilberries and other fruit of the genus Vaccinium"
081050,"Other fruit, fresh : Kiwifruit"
081060,"Other fruit, fresh : Durians"
081070,"Other fruit, fresh : Persimmons"
081090,"Other fruit, fresh : Other"
081110,"Fruit and nuts, uncooked or cooked by steaming or boiling in water, frozen, whether or not containing added sugar or other sweetening matter : Strawberries"
081120,"Fruit and nuts, uncooked or cooked by steaming or boiling in water, frozen, whether or not containing added sugar or other sweetening matter : Raspberries, blackberries, mulberries, loganberries, black-, white- or redcurrants and gooseberries"
081190,"Fruit and nuts, uncooked or cooked by steaming or boiling in water, frozen, whether or not containing added sugar or other sweetening matter : Other"
081210,"Fruit and nuts provisionally preserved, but unsuitable in that state for immediate consumption : Cherries"
081290,"Fruit and nuts provisionally preserved, but unsuitable in that state for immediate consumption : Other"
081310,"Fruit, dried, other than that of headings 0801 to 0806; mixtures of nuts or dried fruits of this chapter : Apricots"
081320,"Fruit, dried, other than that of headings 0801 to 0806; mixtures of nuts or dried fruits of this chapter : Prunes"
081330,"Fruit, dried, other than that of headings 0801 to 0806; mixtures of nuts or dried fruits of this chapter : Apples"
081340,"Fruit, dried, other than that of headings 0801 to 0806; mixtures of nuts or dried fruits of this chapter : Other fruit"
081350,"Fruit, dried, other than that of headings 0801 to 0806; mixtures of nuts or dried fruits of this chapter : Mixtures of nuts or dried fruits of this chapter"
081400,"Peel of citrus fruit or melons (including watermelons), fresh, frozen, dried or provisionally preserved in brine, in sulphur water or in other preservative solutions"
090111,"Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion : Coffee, not roasted : Not decaffeinated"
090112,"Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion : Coffee, not roasted : Decaffeinated"
090121,"Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion : Coffee, roasted : Not decaffeinated"
090122,"Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion : Coffee, roasted : Decaffeinated"
090190,"Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion : Other"
090210,"Tea, whether or not flavoured : Green tea (not fermented) in immediate packings of a content not exceeding 3 kg"
090220,"Tea, whether or not flavoured : Other green tea (not fermented)"
090230,"Tea, whether or not flavoured : Black tea (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3 kg"
090240,"Tea, whether or not flavoured : Other black tea (fermented) and other partly fermented tea"
090300,Maté
090411,Pepper of the genus Piper; dried or crushed or ground fruit of the genus Capsicum or of the genus Pimenta : Pepper : Neither crushed nor ground
090412,Pepper of the genus Piper; dried or crushed or ground fruit of the genus Capsicum or of the genus Pimenta : Pepper : Crushed or ground
090421,"Pepper of the genus Piper; dried or crushed or ground fruit of the genus Capsicum or of the genus Pimenta : Fruit of the genus Capsicum or of the genus Pimenta : Dried, neither crushed nor ground"
090422,Pepper of the genus Piper; dried or crushed or ground fruit of the genus Capsicum or of the genus Pimenta : Fruit of the genus Capsicum or of the genus Pimenta : Crushed or ground
090510,Vanilla : Neither crushed nor ground
090520,Vanilla : Crushed or ground
090611,Cinnamon and cinnamon-tree flowers : Neither crushed nor ground : Cinnamon (Cinnamomum zeylanicum Blume)
090619,Cinnamon and cinnamon-tree flowers : Neither crushed nor ground : Other
090620,Cinnamon and cinnamon-tree flowers : Crushed or ground
090710,"Cloves (whole fruit, cloves and stems) : Neither crushed nor ground"
090720,"Cloves (whole fruit, cloves and stems) : Crushed or ground"
090811,"Nutmeg, mace and cardamoms : Nutmeg : Neither crushed nor ground"
090812,"Nutmeg, mace and cardamoms : Nutmeg : Crushed or ground"
090821,"Nutmeg, mace and cardamoms : Mace : Neither crushed nor ground"
090822,"Nutmeg, mace and cardamoms : Mace : Crushed or ground"
090831,"Nutmeg, mace and cardamoms : Cardamoms : Neither crushed nor ground"
090832,"Nutmeg, mace and cardamoms : Cardamoms : Crushed or ground"
090921,"Seeds of anise, badian, fennel, coriander, cumin or caraway; juniper berries : Seeds of coriander : Neither crushed nor ground"
090922,"Seeds of anise, badian, fennel, coriander, cumin or caraway; juniper berries : Seeds of coriander : Crushed or ground"
090931,"Seeds of anise, badian, fennel, coriander, cumin or caraway; juniper berries : Seeds of cumin : Neither crushed nor ground"
090932,"Seeds of anise, badian, fennel, coriander, cumin or caraway; juniper berries : Seeds of cumin : Crushed or ground"
090961,"Seeds of anise, badian, fennel, coriander, cumin or caraway; juniper berries : Seeds of anise, badian, caraway or fennel; juniper berries : Neither crushed nor ground"
090962,"Seeds of anise, badian, fennel, coriander, cumin or caraway; juniper berries : Seeds of anise, badian, caraway or fennel; juniper berries : Crushed or ground"
091011,"Ginger, saffron, turmeric (curcuma), thyme, bay leaves, curry and other spices : Ginger : Neither crushed nor ground"
091012,"Ginger, saffron, turmeric (curcuma), thyme, bay leaves, curry and other spices : Ginger : Crushed or ground"
091020,"Ginger, saffron, turmeric (curcuma), thyme, bay leaves, curry and other spices : Saffron"
091030,"Ginger, saffron, turmeric (curcuma), thyme, bay leaves, curry and other spices : Turmeric (curcuma)"
091091,"Ginger, saffron, turmeric (curcuma), thyme, bay leaves, curry and other spices : Other spices : Mixtures referred to in note 1(b) to this chapter"
091099,"Ginger, saffron, turmeric (curcuma), thyme, bay leaves, curry and other spices : Other spices : Other"
100111,Wheat and meslin : Durum wheat : Seed
100119,Wheat and meslin : Durum wheat : Other
100191,Wheat and meslin : Other : Seed
100199,Wheat and meslin : Other : Other
100210,Rye : Seed
100290,Rye : Other
100310,Barley : Seed
100390,Barley : Other
100410,Oats : Seed
100490,Oats : Other
100510,Maize (corn) : Seed
100590,Maize (corn) : Other
100610,Rice : Rice in the husk (paddy or rough)
100620,Rice : Husked (brown) rice
100630,"Rice : Semi-milled or wholly milled rice, whether or not polished or glazed"
100640,Rice : Broken rice
100710,Grain sorghum : Seed
100790,Grain sorghum : Other
100810,"Buckwheat, millet and canary seed; other cereals : Buckwheat"
100821,"Buckwheat, millet and canary seed; other cereals : Millet : Seed"
100829,"Buckwheat, millet and canary seed; other cereals : Millet : Other"
100830,"Buckwheat, millet and canary seed; other cereals : Canary seed"
100840,"Buckwheat, millet and canary seed; other cereals : Fonio (Digitaria spp.)"
100850,"Buckwheat, millet and canary seed; other cereals : Quinoa (Chenopodium quinoa)"
100860,"Buckwheat, millet and canary seed; other cereals : Triticale"
100890,"Buckwheat, millet and canary seed; other cereals : Other cereals"
110100,Wheat or meslin flour
110220,Cereal flours other than of wheat or meslin : Maize (corn) flour
110290,Cereal flours other than of wheat or meslin : Other
110311,"Cereal groats, meal and pellets : Groats and meal : Of wheat"
110313,"Cereal groats, meal and pellets : Groats and meal : Of maize (corn)"
110319,"Cereal groats, meal and pellets : Groats and meal : Of other cereals"
110320,"Cereal groats, meal and pellets : Pellets"
110412,"Cereal grains otherwise worked (for example, hulled, rolled, flaked, pearled, sliced or kibbled), except rice of heading 1006; germ of cereals, whole, rolled, flaked or ground : Rolled or flaked grains : Of oats"
110419,"Cereal grains otherwise worked (for example, hulled, rolled, flaked, pearled, sliced or kibbled), except rice of heading 1006; germ of cereals, whole, rolled, flaked or ground : Rolled or flaked grains : Of other cereals"
110422,"Cereal grains otherwise worked (for example, hulled, rolled, flaked, pearled, sliced or kibbled), except rice of heading 1006; germ of cereals, whole, rolled, flaked or ground : Other worked grains (for example, hulled, pearled, sliced or kibbled) : Of oats"
110423,"Cereal grains otherwise worked (for example, hulled, rolled, flaked, pearled, sliced or kibbled), except rice of heading 1006; germ of cereals, whole, rolled, flaked or ground : Other worked grains (for example, hulled, pearled, sliced or kibbled) : Of maize (corn)"
110429,"Cereal grains otherwise worked (for example, hulled, rolled, flaked, pearled, sliced or kibbled), except rice of heading 1006; germ of cereals, whole, rolled, flaked or ground : Other worked grains (for example, hulled, pearled, sliced or kibbled) : Of other cereals"
110430,"Cereal grains otherwise worked (for example, hulled, rolled, flaked, pearled, sliced or kibbled), except rice of heading 1006; germ of cereals, whole, rolled, flaked or ground : Germ of cereals, whole, rolled, flaked or ground"
110510,"Flour, meal, powder, flakes, granules and pellets of potatoes : Flour, meal and powder"
110520,"Flour, meal, powder, flakes, granules and pellets of potatoes : Flakes, granules and pellets"
110610,"Flour, meal and powder of the dried leguminous vegetables of heading 0713, of sago or of roots or tubers of heading 0714 or of the products of Chapter 8 : Of the dried leguminous vegetables of heading 0713"
110620,"Flour, meal and powder of the dried leguminous vegetables of heading 0713, of sago or of roots or tubers of heading 0714 or of the products of Chapter 8 : Of sago or of roots or tubers of heading 0714"
110630,"Flour, meal and powder of the dried leguminous vegetables of heading 0713, of sago or of roots or tubers of heading 0714 or of the products of Chapter 8 : Of the products of Chapter 8"
110710,"Malt, whether or not roasted : Not roasted"
110720,"Malt, whether or not roasted : Roasted"
110811,Starches; inulin : Starches : Wheat starch
110812,Starches; inulin : Starches : Maize (corn) starch
110813,Starches; inulin : Starches : Potato starch
110814,Starches; inulin : Starches : Manioc (cassava) starch
110819,Starches; inulin : Starches : Other starches
110820,Starches; inulin : Inulin
110900,"Wheat gluten, whether or not dried"
120110,"Soya beans, whether or not broken : Seed"
120190,"Soya beans, whether or not broken : Other"
120230,"Groundnuts, not roasted or otherwise cooked, whether or not shelled or broken : Seed"
120241,"Groundnuts, not roasted or otherwise cooked, whether or not shelled or broken : Other : In shell"
120242,"Groundnuts, not roasted or otherwise cooked, whether or not shelled or broken : Other : Shelled, whether or not broken"
120300,Copra
120400,"Linseed, whether or not broken"
120510,"Rape or colza seeds, whether or not broken : Low erucic acid rape or colza seeds"
120590,"Rape or colza seeds, whether or not broken : Other"
120600,"Sunflower seeds, whether or not broken"
120710,"Other oil seeds and oleaginous fruits, whether or not broken : Palm nuts and kernels"
120721,"Other oil seeds and oleaginous fruits, whether or not broken : Cotton seeds : Seed"
120729,"Other oil seeds and oleaginous fruits, whether or not broken : Cotton seeds : Other"
120730,"Other oil seeds and oleaginous fruits, whether or not broken : Castor oil seeds"
120740,"Other oil seeds and oleaginous fruits, whether or not broken : Sesamum seeds"
120750,"Other oil seeds and oleaginous fruits, whether or not broken : Mustard seeds"
120760,"Other oil seeds and oleaginous fruits, whether or not broken : Safflower (Carthamus tinctorius) seeds"
120770,"Other oil seeds and oleaginous fruits, whether or not broken : Melon seeds"
120791,"Other oil seeds and oleaginous fruits, whether or not broken : Other : Poppy seeds"
120799,"Other oil seeds and oleaginous fruits, whether or not broken : Other : Other"
120810,"Flours and meals of oil seeds or oleaginous fruits, other than those of mustard : Of soya beans"
120890,"Flours and meals of oil seeds or oleaginous fruits, other than those of mustard : Other"
120910,"Seeds, fruit and spores, of a kind used for sowing : Sugar beet seeds"
120921,"Seeds, fruit and spores, of a kind used for sowing : Seeds of forage plants : Lucerne (alfalfa) seeds"
120922,"Seeds, fruit and spores, of a kind used for sowing : Seeds of forage plants : Clover (Trifolium spp.) seeds"
120923,"Seeds, fruit and spores, of a kind used for sowing : Seeds of forage plants : Fescue seeds"
120924,"Seeds, fruit and spores, of a kind used for sowing : Seeds of forage plants : Kentucky blue grass (Poa pratensis L.) seeds"
120925,"Seeds, fruit and spores, of a kind used for sowing : Seeds of forage plants : Ryegrass (Lolium multiflorum Lam., Lolium perenne L.) seeds"
120929,"Seeds, fruit and spores, of a kind used for sowing : Seeds of forage plants : Other"
120930,"Seeds, fruit and spores, of a kind used for sowing : Seeds of herbaceous plants cultivated principally for their flowers"
120991,"Seeds, fruit and spores, of a kind used for sowing : Other : Vegetable seeds"
120999,"Seeds, fruit and spores, of a kind used for sowing : Other : Other"
121010,"Hop cones, fresh or dried, whether or not ground, powdered or in the form of pellets; lupulin : Hop cones, neither ground nor powdered nor in the form of pellets"
121020,"Hop cones, fresh or dried, whether or not ground, powdered or in the form of pellets; lupulin : Hop cones, ground, powdered or in the form of pellets; lupulin"
121120,"Plants and parts of plants (including seeds and fruits), of a kind used primarily in perfumery, in pharmacy or for insecticidal, fungicidal or similar purposes, fresh, chilled, frozen or dried, whether or not cut, crushed or powdered : Ginseng roots"
121130,"Plants and parts of plants (including seeds and fruits), of a kind used primarily in perfumery, in pharmacy or for insecticidal, fungicidal or similar purposes, fresh, chilled, frozen or dried, whether or not cut, crushed or powdered : Coca leaf"
121140,"Plants and parts of plants (including seeds and fruits), of a kind used primarily in perfumery, in pharmacy or for insecticidal, fungicidal or similar purposes, fresh, chilled, frozen or dried, whether or not cut, crushed or powdered : Poppy straw"
121150,"Plants and parts of plants (including seeds and fruits), of a kind used primarily in perfumery, in pharmacy or for insecticidal, fungicidal or similar purposes, fresh, chilled, frozen or dried, whether or not cut, crushed or powdered : Ephedra"
121160,"Plants and parts of plants (including seeds and fruits), of a kind used primarily in perfumery, in pharmacy or for insecticidal, fungicidal or similar purposes, fresh, chilled, frozen or dried, whether or not cut, crushed or powdered : Bark of African cherry (Prunus africana)"
121190,"Plants and parts of plants (including seeds and fruits), of a kind used primarily in perfumery, in pharmacy or for insecticidal, fungicidal or similar purposes, fresh, chilled, frozen or dried, whether or not cut, crushed or powdered : Other"
121221,"Locust beans, seaweeds and other algae, sugar beet and sugar cane, fresh, chilled, frozen or dried, whether or not ground; fruit stones and kernels and other vegetable products (including unroasted chicory roots of the variety Cichorium intybus sativum) of a kind used primarily for human consumption, not elsewhere specified or included : Seaweeds and other algae : Fit for human consumption"
121229,"Locust beans, seaweeds and other algae, sugar beet and sugar cane, fresh, chilled, frozen or dried, whether or not ground; fruit stones and kernels and other vegetable products (including unroasted chicory roots of the variety Cichorium intybus sativum) of a kind used primarily for human consumption, not elsewhere specified or included : Seaweeds and other algae : Other"
121291,"Locust beans, seaweeds and other algae, sugar beet and sugar cane, fresh, chilled, frozen or dried, whether or not ground; fruit stones and kernels and other vegetable products (including unroasted chicory roots of the variety Cichorium intybus sativum) of a kind used primarily for human consumption, not elsewhere specified or included : Other : Sugar beet"
121292,"Locust beans, seaweeds and other algae, sugar beet and sugar cane, fresh, chilled, frozen or dried, whether or not ground; fruit stones and kernels and other vegetable products (including unroasted chicory roots of the variety Cichorium intybus sativum) of a kind used primarily for human consumption, not elsewhere specified or included : Other : Locust beans (carob)"
