Country or Area,M49 Code,ISO-alpha3 Code
Mongolia,496,MNG
Republic of Moldova,498,MDA
Montenegro,499,MNE
Montserrat,500,MSR
Morocco,504,MAR
Mozambique,508,MOZ
Oman,512,OMN
Namibia,516,NAM
Nauru,520,NRU
Nepal,524,NPL
Netherlands (Kingdom of the),528,NLD
Curaçao,531,CUW
Aruba,533,ABW
Sint Maarten (Dutch part),534,SXM
"Bonaire, Sint Eustatius and Saba",535,BES
New Caledonia,540,NCL
Vanuatu,548,VUT
New Zealand,554,NZL
Nicaragua,558,NIC
Niger,562,NER
Nigeria,566,NGA
Niue,570,NIU
Norfolk Island,574,NFK
Norway,578,NOR
Northern Mariana Islands,580,MNP
United States Minor Outlying Islands,581,UMI
Micronesia (Federated States of),583,FSM
Marshall Islands,584,MHL
Palau,585,PLW
Pakistan,586,PAK
Panama,591,PAN
Papua New Guinea,598,PNG
Paraguay,600,PRY
Peru,604,PER
Philippines,608,PHL
Pitcairn,612,PCN
Poland,616,POL
Portugal,620,PRT
Guinea-Bissau,624,GNB
Timor-Leste,626,TLS
Puerto Rico,630,PRI
Qatar,634,QAT
Réunion,638,REU
Romania,642,ROU
Russian Federation,643,RUS
Rwanda,646,RWA
Saint Barthélemy,652,BLM
Saint Helena,654,SHN
Saint Kitts and Nevis,659,KNA
Anguilla,660,AIA
Saint Lucia,662,LCA
Saint Martin (French Part),663,MAF
Saint Pierre and Miquelon,666,SPM
Saint Vincent and the Grenadines,670,VCT
San Marino,674,SMR
Sao Tome and Principe,678,STP
Saudi Arabia,682,SAU
Senegal,686,SEN
Serbia,688,SRB
Seychelles,690,SYC
Sierra Leone,694,SLE
Singapore,702,SGP
Slovakia,703,SVK
Viet Nam,704,VNM
Slovenia,705,SVN
Somalia,706,SOM
South Africa,710,ZAF
Zimbabwe,716,ZWE
Spain,724,ESP
South Sudan,728,SSD
Sudan,729,SDN
Western Sahara,732,ESH
Suriname,740,SUR
Svalbard and Jan Mayen Islands,744,SJM
Eswatini,748,SWZ
Sweden,752,SWE
Switzerland,756,CHE
Syrian Arab Republic,760,SYR
Tajikistan,762,TJK
Thailand,764,THA
Togo,768,TGO
Tokelau,772,TKL
Tonga,776,TON
Trinidad and Tobago,780,TTO
United Arab Emirates,784,ARE
Tunisia,788,TUN
Türkiye,792,TUR
Turkmenistan,795,TKM
Turks and Caicos Islands,796,TCA
Tuvalu,798,TUV
Uganda,800,UGA
Ukraine,804,UKR
North Macedonia,807,MKD
Egypt,818,EGY
United Kingdom of Great Britain and Northern Ireland,826,GBR
Guernsey,831,GGY
Jersey,832,JEY
Isle of Man,833,IMN
United Republic of Tanzania,834,TZA
United States of America,840,USA
United States Virgin Islands,850,VIR
Burkina Faso,854,BFA
Uruguay,858,URY
Uzbekistan,860,UZB
Venezuela (Bolivarian Republic of),862,VEN
Wallis and Futuna Islands,876,WLF
Samoa,882,WSM
Yemen,887,YEM
Zambia,894,ZMB
